id,title,description,url,category,status,icon,feature
0,AI語音取代表單系統,是一種結合語音辨識與人工智慧技術的解決方案，能協助工廠人員透過語音快速記錄與接收患者資訊，提升交班效率、減少人為遺漏，確保照護品質與資訊即時同步。。,https://mpshift-transfer-system-production.up.railway.app/,語音系統,hot,語音系統,工廠使用
1,AI語音取代表單系統,是一種結合語音辨識與人工智慧技術的解決方案，能協助照護人員透過語音快速記錄與接收患者資訊，提升交班效率、減少人為遺漏，確保照護品質與資訊即時同步。。,https://shift-handover-system-production.up.railway.app/,語音系統,hot,語音系統,醫院使用
2,宏觀新聞分析工具,即時處理大量新聞資料，透過自然語言處理技術自動分類、摘要與辨識關鍵議題，協助用戶快速掌握趨勢、辨識輿情風向，並節省人力分析時間，大幅提升決策效率與資訊洞察力。。,https://macroinsight-production.up.railway.app/,策略推論,new,策略推論,以台灣的市場看世界
3,企業推論與估算,費米估算是一種在資訊不足時，透過邏輯拆解與常識推理，快速得出合理數值的估算方法。企業導入費米估算，有助於在初步評估、資源分配、專案可行性分析等階段，迅速形成判斷依據，不必等待完整數據也能行動。其優勢包括提升決策速度、強化團隊推理能力、訓練敏銳的商業直覺，特別適用於創新發想、市場預測或危機應對等高不確定性的情境。。,https://fermi-problem-production.up.railway.app/,策略分析,recommended,策略分析,策略分析的最佳工具
4,AI分身上線中,企業導入角色型AI，即為特定部門或業務需求打造具備專業知識與語氣風格的AI對話角色，如客服助理、業務顧問、人資專員等，能即時進行回應、建議與任務執行。不僅可透過文字介面互動，更支援語音輸入與輸出，並具備多國語系能力，讓溝通更自然、無國界。這樣的AI角色可大幅減少重複性工作、強化顧客體驗，並提升企業在數位轉型中的敏捷與全球競爭力。,https://role-playing-ai-dialogue-production.up.railway.app/,工廠管理,advanced,工廠管理,企業內部的溝通窗口
5,AI文件標準化系統打造高效企業流程,企業導入AI文件標準化系統，可自動生成符合格式規範的報告、合約、簡報與內部文件，不僅節省撰寫時間，也確保文件品質與一致性。透過自然語言處理技術與預先定義的模版邏輯，AI能根據輸入資料快速完成撰寫、校對與格式整理，大幅降低人工錯誤與溝通落差，讓跨部門協作更順暢、知識傳承更有系統，是提升組織營運效率的關鍵利器。,https://law-petition-production.up.railway.app/,工廠管理,advanced,工廠管理,改變工作流程(以法律事務所為例)
6,會議報告整理系統,利用AI或自動化工具，幫助使用者快速整理與彙整會議內容的系統。,http://122.100.99.161:8080/chat/XDDaexCmUNQLc0Tk,工廠管理,advanced,工廠管理,採用PDCA的會議報告
7,行銷策略諮詢,透過 AI 技術分析消費者行為、競品動態與市場趨勢，幫助企業快速洞察機會、優化品牌定位與精準溝通策略。不僅能節省決策時間，還能提升行銷活動的投資報酬率（ROI）。這種諮詢方式，特別適合需要敏捷應變與精準操作的中小企業與新創團隊。,http://122.100.99.161:8080/chat/enpYufWOuSQQiNPN,工廠管理,advanced,工廠管理,敏捷應變與精準操作
7,一站式 PDF 解決方案,一種整合多項文件處理功能的數位工具，能有效簡化並優化日常的文書作業流程。透過單一平台，使用者即可完成 PDF 的轉換、編輯、合併、分割、壓縮、加密及 OCR 文字辨識等操作，無需安裝多套軟體或在多個工具之間切換，大幅提升工作效率。,http://122.100.99.161:8011/?lang=zh_TW,工廠管理,advanced,工廠管理,一站式 PDF 解決方案
8,客戶關係管理系統（AI-CRM）,自動分析客戶互動數據、預測流失風險、提供個人化推薦與銷售建議。,http://122.100.99.161:8080/chat/W6Hu0vm9fELI8A7O,工廠管理,advanced,工廠管理,開放
